name,rating,ctype,highly_rated
vSplash Techlabs,1.9,IT Services & Consulting,"Work Life Balance, Work Satisfaction, Company Culture"
Sportz Interactive,3.5,Internet,"Promotions, Salary, Work Life Balance"
Delivery.com,3.8,Internet,"Company Culture, Job Security, Skill Development"
Sel Manufacturing Co.,3.6,Fashion & Textile,"Promotions, Salary, Job Security"
ANEWA Engineering,4.1,Engineering & Construction,"Job Security, Company Culture, Work Life Balance"
All Time Plastics,3.8,Petrochemicals,Salary
Intense Technologies,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Cogniter Technologies,3.3,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
PPMS Field Marketing,3.8,Marketing & Advertising,"Skill Development, Work Life Balance"
Be10X,4.4,Education & Training,"Promotions, Salary, Skill Development"
InfoService,4.1,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
CPC Diagnostics,3.7,Medical Equipment,"Promotions, Job Security, Company Culture"
Sahyadri Farms,3.5,Internet,"Salary, Promotions, Work Life Balance"
Vmoksha Technologies,4.5,IT Services & Consulting,"Work Life Balance, Work Satisfaction, Skill Development"
Sagar Hospital,4.1,Healthcare,"Work Life Balance, Company Culture, Work Satisfaction"
RPP Infra Projects,4.0,Engineering & Construction,"Skill Development, Work Life Balance, Work Satisfaction"
Solenis,3.7,Chemicals,"Work Life Balance, Job Security"
Deepak Chem Tech,3.9,Chemicals,"Work Life Balance, Company Culture, Job Security"
Hogarth Worldwide,3.6,Marketing & Advertising,"Promotions, Work Satisfaction, Job Security"
Goel Construction,3.8,Engineering & Construction,Salary
IPL Biologicals,4.0,Agriculture,"Work Life Balance, Company Culture, Job Security"
Bimbo Bakeries India,3.6,FMCG,"Promotions, Company Culture, Work Satisfaction"
SmartSchool Education,4.5,EdTech,"Company Culture, Work Life Balance, Salary"
Donear Industries,3.1,Fashion & Textile,"Promotions, Company Culture, Salary"
Swaraj Engines,3.7,Automobile,"Promotions, Salary, Job Security"
Gameskraft,4.2,Software Product,"Salary, Company Culture, Work Life Balance"
An Pharmaceuticals,4.4,Pharma,"Promotions, Salary, Company Culture"
Rhenus Logistics,3.3,Logistics,"Promotions, Company Culture, Work Satisfaction"
Crif Solutions,3.1,FinTech,"Promotions, Work Satisfaction, Skill Development"
DSM SOFT,2.8,IT Services & Consulting,"Salary, Promotions, Company Culture"
S V S Projects India,3.0,Engineering & Construction,"Company Culture, Promotions, Work Life Balance"
Valiant Organics,3.5,Chemicals,"Promotions, Company Culture, Salary"
Mythri Infrastructure and Mining,3.4,Engineering & Construction,"Promotions, Job Security, Company Culture"
Archean Chemical Industries,3.6,Chemicals,Job Security
Maschio Gaspardo,3.6,Industrial Machinery,"Job Security, Skill Development, Promotions"
Burman Hospitality,3.9,Hospitality,"Company Culture, Job Security, Skill Development"
NNE,3.3,Engineering & Construction,"Promotions, Job Security, Skill Development"
Cinda Engineering & Construction,4.2,Engineering & Construction,"Work Life Balance, Company Culture, Salary"
SYNCHRONIZED SUPPLY SYSTEMS,4.0,Logistics,"Company Culture, Work Life Balance, Work Satisfaction"
Proventech,4.2,Software Product,"Job Security, Skill Development, Company Culture"
M2P Fintech,2.9,FinTech,"Job Security, Promotions, Work Satisfaction"
Ansal Api,3.9,Real Estate,"Work Life Balance, Company Culture, Work Satisfaction"
Sharda Hospital,4.0,Healthcare,"Work Life Balance, Job Security, Company Culture"
Nandi Toyota,3.8,Automobile,"Company Culture, Job Security, Skill Development"
Birdeye,3.1,Marketing & Advertising,"Promotions, Company Culture, Work Satisfaction"
Randstad Digital,3.2,Recruitment,"Promotions, Job Security, Work Satisfaction"
Translumina Therapeutics,3.4,Healthcare,"Promotions, Work Satisfaction, Skill Development"
Qube Cinema Technologies,3.8,Media & Entertainment,"Company Culture, Work Life Balance, Job Security"
Sulphur Mills,3.5,Agro Chemicals,"Promotions, Company Culture, Salary"
NSL Sugars,4.2,Food Processing,"Work Life Balance, Job Security, Company Culture"
Aptonline,3.2,IT Services & Consulting,Job Security
Nuance Transcription Services,4.1,IT Services & Consulting,"Salary, Company Culture, Work Life Balance"
KerryIndev Logistics,3.6,Logistics,"Promotions, Skill Development, Company Culture"
Ideaforge Technology,3.5,Internet,"Promotions, Salary, Work Satisfaction"
Amtex Systems,3.2,IT Services & Consulting,"Promotions, Salary, Job Security"
Aditya Anagha Multi State Credit Co-Operative Society,4.7,Banking,"Company Culture, Skill Development, Work Life Balance"
Inspiredge IT Solutions,3.9,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
Ashley Global Capability Center,3.5,IT Services & Consulting,"Promotions, Job Security, Company Culture"
Aster MIMS,4.5,Healthcare,"Company Culture, Work Life Balance, Skill Development"
Birla Cellulose,3.6,Pulp & Paper,"Promotions, Company Culture, Work Life Balance"
Som Projects (S.P.L),3.6,Engineering & Construction,"Company Culture, Promotions, Skill Development"
Modelama Exports,3.8,Fashion & Textile,"Company Culture, Work Satisfaction, Job Security"
Volante Technologies,3.3,FinTech,"Promotions, Work Satisfaction, Skill Development"
Eros Group,3.8,Real Estate,"Work Life Balance, Company Culture"
Bhavna Corp.,3.4,IT Services & Consulting,Salary
Global Payments,4.2,FinTech,"Company Culture, Work Life Balance, Work Satisfaction"
Tynor Orthotics,3.6,Fitness & Wellness,"Promotions, Work Satisfaction, Job Security"
Presidency University,2.6,Education & Training,"Promotions, Company Culture, Work Life Balance"
MaxVal Group,3.1,IT Services & Consulting,"Promotions, Work Satisfaction, Company Culture"
Nippon Konpo,4.1,Logistics,"Work Life Balance, Job Security, Company Culture"
Private Practice,4.4,Mumbai +76 other locations,"Skill Development, Work Satisfaction, Company Culture"
Bharat Coking Coal,4.3,Metals & Mining,"Company Culture, Work Satisfaction, Work Life Balance"
Sinch,3.3,Internet,"Promotions, Work Satisfaction, Skill Development"
Mangal Industries,3.8,Auto Components,"Job Security, Skill Development, Company Culture"
Maheshwari Mining,3.5,Metals & Mining,"Promotions, Company Culture, Work Satisfaction"
SPJ group,4.0,Real Estate,"Work Life Balance, Salary, Company Culture"
Giridhan Metal,4.0,Iron & Steel,"Work Life Balance, Work Satisfaction, Job Security"
Regal Rexnord Corporation,3.5,Industrial Machinery,"Promotions, Skill Development, Work Satisfaction"
D'Decor Home Fabrics,3.8,Fashion & Textile,"Job Security, Work Life Balance"
FutureSoft India,3.4,Software Product,"Job Security, Promotions, Company Culture"
Ramee Group of Hotels,3.6,Hospitality,"Job Security, Promotions, Skill Development"
Giridhan Metal,4.0,Iron & Steel,"Work Life Balance, Work Satisfaction, Job Security"
CapitalVia,3.9,Analytics & KPO,"Company Culture, Skill Development, Salary"
ObjectWin Technology,3.5,Recruitment,"Job Security, Promotions, Skill Development"
Corrtech International,3.0,Engineering & Construction,"Promotions, Salary, Work Satisfaction"
Architect Hafeez Contractor,2.9,Architecture & Interior Design,"Work Life Balance, Promotions, Company Culture"
Ruparel Realty,3.8,Real Estate,"Work Life Balance, Salary"
Open Financial Technologies Private Limited,3.2,FinTech,"Job Security, Promotions, Work Satisfaction"
Asianet Satellite Communications,4.4,Internet,"Work Life Balance, Company Culture, Work Satisfaction"
Magnit Global,3.4,Software Product,"Promotions, Job Security, Company Culture"
Shankar Packagings,2.5,Packaging,"Company Culture, Job Security, Promotions"
Supple Tek Industries,3.5,Food Processing,Salary
Maksat Technologies,3.3,Telecom,"Promotions, Salary, Job Security"
Unislink,3.9,Healthcare,"Work Life Balance, Company Culture, Work Satisfaction"
Greaves Electric Mobility,3.2,Automobile,"Job Security, Promotions, Skill Development"
VAYA Finserv,4.0,Financial Services,"Company Culture, Work Life Balance, Work Satisfaction"
Best Value Chem,3.8,Chemicals,"Promotions, Salary"
Dmi Finance,3.6,NBFC,"Promotions, Work Satisfaction"
Hitek Syndicate,3.3,Banking,"Salary, Work Satisfaction, Promotions"
Cytecare Cancer Hospital,4.4,Healthcare,"Work Life Balance, Job Security, Skill Development"
Greaves Electric Mobility,3.2,Automobile,"Job Security, Promotions, Skill Development"
bloom Hotel Group,4.2,Hospitality,"Work Life Balance, Job Security, Company Culture"
Kamdhenu,3.7,Building Material,Work Life Balance
Cytecare Cancer Hospital,4.4,Healthcare,"Work Life Balance, Job Security, Skill Development"
Johnson Electric,3.5,Electronics Manufacturing,Salary
Metayb,3.8,IT Services & Consulting,Company Culture
"L&T Construction, Mining and Industrial Machinery",4.1,Industrial Machinery,"Job Security, Skill Development"
Biotech Vision Care,3.6,Healthcare,"Promotions, Company Culture, Work Satisfaction"
Sri Ranganathar Industries,3.2,Industrial Machinery,"Promotions, Company Culture, Job Security"
ASK-EHS Engineering & Consultants,3.5,Engineering & Construction,"Promotions, Job Security, Company Culture"
Mahindra Accelo,3.6,Iron & Steel,Job Security
Jar,4.4,FinTech,"Work Life Balance, Skill Development, Salary"
Globe Capital Market,3.4,Investment Banking / Venture Capital / Private Equity,"Promotions, Skill Development, Company Culture"
Hills Cement Company,3.4,Engineering & Construction,"Job Security, Promotions, Company Culture"
Maven Silicon,3.9,Semiconductors,"Company Culture, Work Life Balance, Job Security"
Divgi Torqtransfer Systems,3.2,Auto Components,"Promotions, Salary, Company Culture"
Bonanza Portfolio,3.2,Financial Services,"Promotions, Skill Development, Salary"
KPI Partners,3.5,IT Services & Consulting,Salary
Vitech Systems Asia,3.4,IT Services & Consulting,"Skill Development, Work Satisfaction, Job Security"
Tata Memorial Hospital,4.1,Healthcare,Skill Development
S kant Healthcare Ltd,4.6,Pharma,"Work Life Balance, Job Security, Company Culture"
RPSG,3.6,FMCG,"Promotions, Company Culture, Work Satisfaction"
Oswal Group,3.9,Fashion & Textile,Promotions
International Travel House,3.7,Travel & Tourism,Job Security
Zeiss Pharma,3.4,Pharma,"Company Culture, Work Satisfaction, Promotions"
3F Industries,3.5,Food Processing,"Promotions, Company Culture, Skill Development"
ART Housing Finance (India),3.9,Financial Services,"Work Life Balance, Skill Development, Salary"
Hills Cement Company,3.4,Engineering & Construction,"Job Security, Promotions, Company Culture"
cFIRST,3.8,Recruitment,"Company Culture, Work Life Balance, Job Security"
Maven Silicon,3.9,Semiconductors,"Company Culture, Work Life Balance, Job Security"
Bonanza Portfolio,3.2,Financial Services,"Promotions, Skill Development, Salary"
Accurate Engineering Company,3.3,Industrial Machinery,"Promotions, Salary, Company Culture"
Divgi Torqtransfer Systems,3.2,Auto Components,"Promotions, Salary, Company Culture"
Hyderabad Metro Rail,4.2,Railways,"Job Security, Company Culture, Work Life Balance"
KPI Partners,3.5,IT Services & Consulting,Salary
Tata Memorial Hospital,4.1,Healthcare,Skill Development
Vitech Systems Asia,3.4,IT Services & Consulting,"Skill Development, Work Satisfaction, Job Security"
APOLLO POWER SYSTEMS,3.7,Electrical Equipment,Work Life Balance
Careers360,2.9,Education & Training,"Work Satisfaction, Promotions, Company Culture"
WNS Denali,3.5,Management Consulting,"Promotions, Salary, Work Satisfaction"
KRG Technologies,4.3,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction"
Rane Group,3.8,Auto Components,"Job Security, Skill Development, Work Life Balance"
Kuantum Papers,4.3,Pulp & Paper,"Work Life Balance, Job Security, Company Culture"
iQuanti,4.0,Marketing & Advertising,"Company Culture, Work Satisfaction, Job Security"
Mega Rubber Technologies,3.6,Auto Components,"Promotions, Skill Development, Work Satisfaction"
Polyplastics,3.6,Petrochemicals,Job Security
Enterslice,3.8,FinTech,"Work Life Balance, Skill Development"
Heavy Engineering Corporation,3.5,Engineering & Construction,Work Life Balance
Damodar Valley Corporation,3.8,Power,"Job Security, Work Life Balance"
Ranjit Buildcon,4.4,Engineering & Construction,"Salary, Work Life Balance, Work Satisfaction"
DESIGNCO,3.9,Import & Export,Skill Development
Goel Ganga Group,3.2,Real Estate,"Promotions, Salary, Company Culture"
Agrawal Metal Works,4.0,Metals & Mining,"Salary, Job Security, Work Life Balance"
Si Creva Capital Services,3.4,Mumbai +69 other locations,"Job Security, Company Culture, Work Satisfaction"
Ring Plus Aqua,4.2,Auto Components,"Work Life Balance, Company Culture, Job Security"
STEM Learning,4.1,Education & Training,"Salary, Company Culture, Work Life Balance"
Ginger Webs,2.6,IT Services & Consulting,"Job Security, Promotions, Company Culture"
Deccan Cements,4.0,Building Material,"Work Life Balance, Job Security"
Bajaj Electronics,3.7,Retail,"Promotions, Salary, Job Security"
Lalitpur Power Generation,4.3,Power,"Job Security, Work Life Balance, Work Satisfaction"
Radix Electrosystems,3.4,Electronics Manufacturing,"Promotions, Skill Development, Company Culture"
Servosys Solutions,2.7,Financial Services,"Company Culture, Promotions, Skill Development"
Techugo,3.4,Software Product,"Promotions, Salary, Job Security"
Gopalan Enterprises,4.0,Real Estate,"Work Life Balance, Salary"
Labtron Equipment,3.4,Hyderabad +8 other locations,"Promotions, Salary, Company Culture"
John Cockerill,3.2,Industrial Machinery,"Promotions, Job Security, Skill Development"
Mega Rubber Technologies,3.6,Auto Components,"Promotions, Skill Development, Work Satisfaction"
Polyplastics,3.6,Petrochemicals,Job Security
Express Roadways,3.5,Logistics,"Promotions, Salary, Work Satisfaction"
Axa Parenterals,3.8,Medical Equipment,"Promotions, Salary"
Geno Pharmaceuticals,3.1,Pharma,"Promotions, Work Satisfaction, Skill Development"
HEUBACH Colour,4.0,Chemicals,"Company Culture, Work Life Balance, Work Satisfaction"
FreshersNow,3.9,Hyderabad +40 other locations,"Company Culture, Skill Development, Work Satisfaction"
Srijan Realty,3.6,Real Estate,Salary
Ican BPO,4.2,BPO,"Company Culture, Skill Development, Salary"
IOT Infrastructure & Energy,4.2,Engineering & Construction,"Work Life Balance, Salary, Company Culture"
SNS College of Technology,4.8,Education & Training,"Company Culture, Work Life Balance, Work Satisfaction"
Yashashvi Rasayan,4.3,Metals & Mining,"Skill Development, Work Life Balance, Work Satisfaction"
Drishti IAS,4.1,EdTech,"Company Culture, Work Life Balance, Work Satisfaction"
ABP Network,3.8,Broadcasting,Work Life Balance
Ican BPO,4.2,BPO,"Company Culture, Skill Development, Salary"
IOT Infrastructure & Energy,4.2,Engineering & Construction,"Work Life Balance, Salary, Company Culture"
FreshersNow,3.9,Hyderabad +40 other locations,"Company Culture, Skill Development, Work Satisfaction"
Drishti IAS,4.1,EdTech,"Company Culture, Work Life Balance, Work Satisfaction"
Dexian India Technologies,3.5,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction"
Vee Gee Industrial Enterprises,3.7,Electronics Manufacturing,"Company Culture, Promotions, Work Life Balance"
Yashoda Super Speciality Hospitals,3.8,Hyderabad +12 other locations,"Work Life Balance, Job Security"
ABP Network,3.8,Broadcasting,Work Life Balance
Fangs Technology,3.9,Consumer Electronics & Appliances,"Skill Development, Company Culture, Work Life Balance"
JBM Neel Metal,3.9,Auto Components,"Job Security, Skill Development"
IQ City Medical College,3.4,Education & Training,"Promotions, Salary, Company Culture"
Amalgam Steel,3.7,Iron & Steel,"Promotions, Company Culture, Work Satisfaction"
Graygraph Technologies Private Limited,4.3,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction"
Ceratizit,4.4,Industrial Machinery,"Work Life Balance, Company Culture, Work Satisfaction"
Amentum,4.1,Defence & Aerospace,"Work Life Balance, Company Culture, Work Satisfaction"
Confiance BizSol Private Limited,2.9,Analytics & KPO,"Company Culture, Promotions, Work Satisfaction"
Monginis Foods,3.5,Hospitality,"Promotions, Company Culture, Work Satisfaction"
Mepro Pharmaceuticals,3.9,Pharma,"Job Security, Work Life Balance, Work Satisfaction"
Bewakoof,3.7,Fashion & Textile,Work Life Balance
Swal Corporation,4.1,Agro Chemicals,"Company Culture, Work Life Balance, Work Satisfaction"
Pathcare Labs,3.8,Healthcare,"Promotions, Company Culture, Job Security"
Zuari Agro Chemicals,3.9,Agro Chemicals,Work Life Balance
Infinity Data Technologies,3.3,IT Services & Consulting,"Promotions, Salary, Company Culture"
Confiance BizSol Private Limited,2.9,Analytics & KPO,"Company Culture, Promotions, Work Satisfaction"
Nipha Exports,3.5,Industrial Machinery,"Promotions, Company Culture, Work Satisfaction"
Arabtec Construction,4.2,Engineering & Construction,"Company Culture, Work Life Balance, Work Satisfaction"
M*Modal,3.6,IT Services & Consulting,"Promotions, Company Culture, Work Satisfaction"
Healthplix Technologies,3.0,Fitness & Wellness,"Job Security, Promotions, Company Culture"
Towell Engineering Group,3.4,Engineering & Construction,Job Security
NetCom Learning,3.1,EdTech,"Job Security, Promotions, Salary"
Sree Metaliks,3.9,Industrial Machinery,Work Life Balance
Hyundai Heavy Industries,3.5,Industrial Machinery,"Skill Development, Work Life Balance, Work Satisfaction"
MSL Driveline Systems,4.3,Auto Components,"Work Life Balance, Work Satisfaction, Skill Development"
Kamal Fincap,3.9,Financial Services,"Work Life Balance, Work Satisfaction"
Appiness Interactive,4.3,IT Services & Consulting,"Company Culture, Work Life Balance, Skill Development"
Gpt Infraprojects,3.9,Engineering & Construction,"Job Security, Promotions"
Chromewell Engineering,3.8,Industrial Machinery,Promotions
Wipro Insurance Solutions,3.6,Mumbai +11 other locations,Job Security
A2Z Infraservices,3.9,Facility Management Services,Work Life Balance
Li & Fung,3.8,Electrical Equipment,"Work Life Balance, Company Culture"
Healthplix Technologies,3.0,Fitness & Wellness,"Job Security, Promotions, Company Culture"
Gpt Infraprojects,3.9,Engineering & Construction,"Job Security, Promotions"
Appiness Interactive,4.3,IT Services & Consulting,"Company Culture, Work Life Balance, Skill Development"
Li & Fung,3.8,Electrical Equipment,"Work Life Balance, Company Culture"
Chromewell Engineering,3.8,Industrial Machinery,Promotions
Global Hospital Pune India,3.8,Healthcare,"Company Culture, Job Security, Skill Development"
Lawrence & Mayo,3.6,Retail,"Salary, Job Security"
A2Z Infraservices,3.9,Facility Management Services,Work Life Balance
Ayoki Fabricon,3.8,Engineering & Construction,Skill Development
Rain Carbon,4.1,Visakhapatnam +5 other locations,"Job Security, Work Life Balance, Company Culture"
Trinity Touch,4.4,Electrical Equipment,"Company Culture, Work Life Balance, Job Security"
FloBiz,3.3,IT Services & Consulting,"Job Security, Promotions, Skill Development"
O2f info Solutions,3.4,Recruitment,"Job Security, Promotions, Skill Development"
Pro1 Health Systems,3.6,Medical Equipment,"Work Life Balance, Company Culture, Work Satisfaction"
Sms Integrated Facility Services,4.1,Facility Management Services,"Company Culture, Work Life Balance, Work Satisfaction"
EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.7,Fashion & Textile,"Promotions, Job Security"
United Nations Development Programme,4.0,Non-Profit,"Company Culture, Work Life Balance, Work Satisfaction"
Pravin Masalewale,3.9,FMCG,Skill Development
Veeline Industries,4.2,Surat +9 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
Market Xcel Data Matrix,2.8,Analytics & KPO,"Job Security, Promotions, Company Culture"
Carrefour,3.6,Retail,"Promotions, Job Security, Skill Development"
Natural Remedies,3.7,Pharma,Work Life Balance
Tata Realty and Infrastructure,3.9,Real Estate,"Work Life Balance, Salary, Job Security"
OneAdvanced,2.6,IT Services & Consulting,"Job Security, Promotions, Skill Development"
Pentagon System and Services,3.8,IT Services & Consulting,"Promotions, Work Satisfaction"
Da Milano Leathers,2.9,Leather,"Promotions, Job Security, Work Satisfaction"
Kaff Appliances (india),3.2,Consumer Electronics & Appliances,"Promotions, Company Culture, Job Security"
Pratibha Syntex,3.9,Fashion & Textile,"Job Security, Skill Development, Work Life Balance"
Bobst India,4.0,Industrial Machinery,"Work Life Balance, Company Culture, Work Satisfaction"
Childline India Foundation,4.3,Non-Profit,"Work Life Balance, Skill Development, Work Satisfaction"
Rabwin Industries,4.0,Industrial Machinery,"Skill Development, Work Life Balance, Job Security"
Advanced Medtech Solutions,3.5,Medical Equipment,"Job Security, Promotions, Work Satisfaction"
Willowood Chemicals,3.9,Agro Chemicals,"Work Life Balance, Company Culture, Salary"
SeQuent Scientific,3.7,Pharma,"Job Security, Promotions, Work Satisfaction"
Outscale Partners,2.5,IT Services & Consulting,"Company Culture, Promotions, Skill Development"
Sterlite Copper,4.2,Metals & Mining,"Skill Development, Work Satisfaction, Company Culture"
Goibibo,2.6,Travel & Tourism,"Promotions, Work Satisfaction, Skill Development"
Diksha Technologies,2.8,IT Services & Consulting,"Promotions, Company Culture, Skill Development"
Wysetek Systems Technologists,3.4,IT Services & Consulting,"Company Culture, Promotions, Work Life Balance"
Wepsol,3.4,IT Services & Consulting,"Promotions, Salary, Job Security"
Applus Velosi,3.7,Oil & Gas,"Promotions, Salary, Job Security"
Central Institute of Plastics Engineering & Technology,3.5,Education & Training,"Promotions, Job Security, Company Culture"
Maccaferri,3.7,Real Estate,"Salary, Company Culture, Work Life Balance"
Aditya Birla Lifestyle Brands,4.1,Bengaluru +39 other locations,"Job Security, Company Culture, Work Life Balance"
Maya Academy of Advanced Cinematics,3.0,Animation & VFX,"Promotions, Company Culture, Work Satisfaction"
Kenstar,3.7,Consumer Electronics & Appliances,"Salary, Work Life Balance"
BYLD Group,3.8,Management Consulting,"Company Culture, Work Life Balance, Skill Development"
GXO,3.7,Logistics,Work Life Balance
Kolors Healthcare,3.8,Healthcare,Promotions
Vignesh Polymers,3.6,Petrochemicals,"Job Security, Promotions, Salary"
Hyland Software Solutions India LLP,3.5,IT Services & Consulting,Work Life Balance
Ncr Eduservices,4.2,Education & Training,"Company Culture, Work Life Balance, Work Satisfaction"
Impressions Services,3.9,Facility Management Services,"Salary, Company Culture, Work Life Balance"
Gujarat Guardian Ltd.,3.8,Building Material,Salary
Sellcraft Global Technology Solutions,3.9,IT Services & Consulting,"Job Security, Promotions"
JioHotstar,3.4,Internet,"Promotions, Company Culture, Job Security"
Olive Bar & Kitchen,4.1,Hospitality,"Work Life Balance, Job Security, Company Culture"
Infibeam Avenues,3.1,IT Services & Consulting,"Promotions, Company Culture, Work Satisfaction"
St. Joseph's School,4.2,Education & Training,"Work Life Balance, Company Culture, Work Satisfaction"
NimbusPost,3.2,Logistics,"Job Security, Promotions, Skill Development"
Institute of Language Management,4.2,Education & Training,"Skill Development, Job Security, Company Culture"
Anytime Fitness,3.4,Fitness & Wellness,"Job Security, Promotions, Salary"
Atlassian,3.0,Software Product,Salary
Daebu Automotive Seat,3.2,Auto Components,"Promotions, Salary, Company Culture"
Country Holidays Travel Chennai,3.9,Travel & Tourism,"Work Life Balance, Company Culture, Work Satisfaction"
Jagatjit Industries,3.5,Beverage,"Promotions, Company Culture, Salary"
Yamaha Music India,3.6,Media & Entertainment,"Work Life Balance, Job Security"
J Pan Tubular Components,3.3,Industrial Machinery,"Promotions, Company Culture, Work Satisfaction"
Leena Powertech Engineers,3.6,Engineering & Construction,"Company Culture, Promotions, Work Life Balance"
Brandix India Apparel City,3.9,Fashion & Textile,"Job Security, Company Culture, Skill Development"
Ccl Products,4.0,Beverage,"Work Life Balance, Job Security, Company Culture"
Doordarshan,3.5,Broadcasting,Work Life Balance
Toluna,3.1,Analytics & KPO,Job Security
Govind Milk & Milk Products,4.3,Food Processing,"Work Life Balance, Company Culture, Job Security"
Singer India,4.0,Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Job Security"
Continental Tyres,3.5,Auto Components,"Promotions, Job Security, Work Satisfaction"
Exemed Pharmaceuticals,3.9,Pharma,"Job Security, Salary, Company Culture"
Lal Baba Seamless Tubes,3.1,Industrial Machinery,"Promotions, Company Culture, Work Satisfaction"
LeapScholar,3.3,Bengaluru +18 other locations,"Work Satisfaction, Work Life Balance, Job Security"
Educational Initiatives,2.9,EdTech,"Promotions, Company Culture, Work Satisfaction"
TalentServe,2.0,Software Product,"Work Satisfaction, Job Security, Promotions"
C-quel Management Services,4.2,Accounting & Auditing,"Work Life Balance, Job Security, Work Satisfaction"
S.M. Consultants,3.3,Management Consulting,"Company Culture, Promotions, Work Life Balance"
Newtech Medical Devices,3.7,Medical Equipment,
Jai Kisan,3.2,Internet,"Job Security, Promotions, Company Culture"
Lapp India,4.1,Electrical Equipment,"Work Life Balance, Work Satisfaction, Company Culture"
Indian Council of Agricultural Research,3.9,Education & Training,"Work Life Balance, Work Satisfaction, Skill Development"
Scorpion Express,3.7,Logistics,"Promotions, Job Security, Work Satisfaction"
Katyayani Organics,4.0,Agriculture,"Skill Development, Company Culture"
L&T Geostructure,4.2,Chennai +30 other locations,"Job Security, Salary, Company Culture"
B.L. Agro Industries,3.8,Bareilly +21 other locations,"Job Security, Promotions"
Ingenero Technologies,4.0,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Swelect Energy Systems,4.0,Electrical Equipment,"Job Security, Work Life Balance, Skill Development"
Bry-Air (Asia),3.6,Gurugram +17 other locations,Job Security
Finecure Pharmaceuticals,3.7,Pharma,"Promotions, Company Culture"
Jubilant Industries,3.8,Agro Chemicals,"Job Security, Company Culture, Work Life Balance"
Ascolite - Aswani Industries Pvt. Ltd.,3.8,Engineering & Construction,"Skill Development, Work Life Balance"
First Abu Dhabi Bank,3.0,Banking,"Promotions, Skill Development, Job Security"
BG Distributors,3.5,FMCG,"Promotions, Work Satisfaction, Salary"
Paracoat Products,3.7,Auto Components,Job Security
Cadworks India,4.9,Design,"Company Culture, Skill Development, Work Life Balance"
VASANTHA TOOL CRAFTS,3.9,Industrial Machinery,"Skill Development, Job Security"
Alliant Talent,2.0,Accounting & Auditing,"Job Security, Company Culture, Work Satisfaction"
Don Bosco Tech Society,4.0,Non-Profit,"Skill Development, Work Life Balance, Work Satisfaction"
Newton School: Pay after Placement,3.8,Internet,"Work Life Balance, Skill Development"
Thinksys Software,3.8,IT Services & Consulting,Work Life Balance
ATYETI,3.8,IT Services & Consulting,"Work Life Balance, Salary, Company Culture"
Kapil Chit Funds,4.0,FinTech,"Company Culture, Work Life Balance, Skill Development"
L&T Infrastructure Development Projects,4.0,Engineering & Construction,"Work Life Balance, Job Security, Work Satisfaction"
Altius Customer Services,3.4,BPO,"Salary, Promotions, Job Security"
CI Infotech,3.7,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Technocraft Industries,3.8,Industrial Machinery,Promotions
Ind swift ltd. Gbu,3.6,Chandigarh +22 other locations,"Promotions, Company Culture, Skill Development"
Crio.Do,2.8,EdTech,"Job Security, Work Satisfaction, Promotions"
SKYMAP PHARMACEUTICALS,4.0,Pharma,"Work Life Balance, Job Security, Salary"
Ajanta Shoes,3.5,Fashion & Textile,"Promotions, Company Culture, Work Satisfaction"
Arvind Technocrats & Engineers LLP,3.8,Engineering & Construction,Salary
SISA Information Security,3.0,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Experion Technologies,3.6,IT Services & Consulting,Job Security
Curateq Biologics,3.2,Biotechnology,Job Security
Fiat Chrysler Automobiles,3.7,Automobile,"Promotions, Salary, Company Culture"
Indus Motors,4.1,Automobile,"Company Culture, Work Life Balance, Skill Development"
Vehere Technologies,4.4,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
ThinkPalm Technologies,3.9,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
PC Financial Services,4.1,Financial Services,"Company Culture, Work Life Balance, Work Satisfaction"
Sandfits Foundries,4.0,Auto Components,"Skill Development, Work Satisfaction, Job Security"
Happy Forging,3.8,Auto Components,Job Security
Advance Auto Parts India,3.9,Retail,"Work Life Balance, Salary, Company Culture"
Speed Engineering Solutions,3.8,Industrial Machinery,Company Culture
Ascendum Solutions,3.0,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction"
SMCC Construction India,4.1,Engineering & Construction,"Job Security, Salary, Company Culture"
Crowe Horwath,3.6,Accounting & Auditing,Work Life Balance
Thinksynq Solutions,3.8,Management Consulting,"Job Security, Company Culture, Work Life Balance"
Amnet Systems,3.7,IT Services & Consulting,"Promotions, Skill Development, Work Satisfaction"
Allied Nippon,3.7,Auto Components,"Promotions, Skill Development"
Sun Technologies,3.2,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
