name,rating,ctype,highly_rated
Hyundai Motor India Limited,4.1,Automobile,"Job Security, Salary, Company Culture"
Thermax Limited,4.2,Industrial Machinery,"Job Security, Company Culture, Skill Development"
OPPO,3.9,Consumer Electronics & Appliances,Skill Development
Jubilant Foods Works,3.7,Hospitality,"Promotions, Work Satisfaction"
Carelon Global Solutions,3.9,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security"
Jindal Steel Limited,4.0,Iron & Steel,"Skill Development, Job Security"
Hindalco Industries,4.2,Metals & Mining,"Job Security, Work Life Balance, Skill Development"
Macleods Pharmaceuticals,3.7,Pharma,Job Security
State Street Corporation,3.5,Financial Services,"Promotions, Work Satisfaction, Job Security"
Aakash Educational Services,3.2,Education & Training,"Promotions, Work Life Balance, Job Security"
Bajaj Auto,3.8,Automobile,Promotions
LG Electronics,3.8,Consumer Electronics & Appliances,Job Security
RBL Bank,3.5,Banking,"Promotions, Company Culture, Work Satisfaction"
DCB Bank,3.8,Banking,Work Life Balance
HDFC ERGO General Insurance,3.9,Insurance,"Work Life Balance, Company Culture, Job Security"
Blinkit,3.8,Internet,"Skill Development, Salary"
Royal Enfield,4.2,Automobile,"Company Culture, Work Life Balance, Work Satisfaction"
Cummins,4.3,Industrial Machinery,"Company Culture, Work Life Balance, Work Satisfaction"
John Deere,4.0,Industrial Machinery,"Company Culture, Work Life Balance, Skill Development"
Grasim Industries,4.0,Building Material,"Job Security, Work Life Balance, Skill Development"
Aditya Birla Sun Life Insurance,4.0,Insurance,"Work Life Balance, Company Culture, Skill Development"
PhonePe,3.9,FinTech,"Salary, Work Life Balance, Skill Development"
Cloudnine Hospital,4.5,Healthcare,"Company Culture, Job Security, Skill Development"
Publicis Sapient,3.2,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction"
Tata Communications,3.8,Telecom,Work Life Balance
Kogta Financial India Limited,4.6,NBFC,"Company Culture, Work Life Balance, Work Satisfaction"
Pidilite Industries,4.2,Chemicals,"Job Security, Work Life Balance, Company Culture"
Alembic Pharmaceuticals,3.9,Pharma,"Salary, Work Life Balance"
PNB MetLife,3.3,Insurance,"Job Security, Company Culture, Work Satisfaction"
Bank of America,4.1,Banking,"Job Security, Work Life Balance, Company Culture"
Kyndryl,3.9,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development"
Aditya Birla Capital,3.8,NBFC,Promotions
KPIT Technologies,2.8,Software Product,"Promotions, Job Security, Company Culture"
Escorts Kubota Limited,4.1,Industrial Machinery,"Company Culture, Work Life Balance, Work Satisfaction"
JK Cement,4.0,Building Material,Salary
Subros,3.7,Auto Components,"Job Security, Skill Development"
American Express,4.1,Financial Services,"Work Life Balance, Company Culture, Job Security"
ADP Private Limited,3.9,Software Product,"Job Security, Work Life Balance, Company Culture"
Oyo Rooms,3.0,Hospitality,"Job Security, Company Culture, Work Satisfaction"
Maersk,3.9,Logistics,"Work Life Balance, Company Culture"
PVR INOX,3.8,Media & Entertainment,Promotions
Viatris,4.0,Pharma,"Salary, Work Life Balance, Job Security"
XpressBees,4.1,Logistics,"Work Life Balance, Skill Development, Company Culture"
Altruist Technologies,4.3,BPO,"Work Life Balance, Job Security, Company Culture"
